src_ip,dst_ip,packet_size,protocol,dst_port,timestamp
10.167.246.18,151.101.64.223,141,1,443,1774035364.3318262
10.167.246.18,151.101.64.223,227,1,443,1774035364.335291
10.167.1.136,224.0.0.251,463,2,5353,1774035364.4300017
10.167.106.78,224.0.0.251,426,2,5353,1774035364.4353871
10.167.228.106,224.0.0.251,442,2,5353,1774035364.4463074
10.167.107.48,224.0.0.251,438,2,5353,1774035364.451211
10.167.121.37,224.0.0.251,172,2,5353,1774035364.4561265
10.167.75.87,224.0.0.251,428,2,5353,1774035364.5323822
151.101.64.223,10.167.246.18,54,1,28783,1774035364.534768
151.101.64.223,10.167.246.18,54,1,28783,1774035364.5363877
151.101.64.223,10.167.246.18,126,1,28783,1774035364.539079
151.101.64.223,10.167.246.18,446,1,28783,1774035364.5416758
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.5503843
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.5541296
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.557835
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.5647945
10.167.246.18,151.101.64.223,66,1,443,1774035364.5662987
10.167.246.18,151.101.64.223,74,1,443,1774035364.5678399
10.167.246.18,151.101.64.223,66,1,443,1774035364.5690982
10.167.246.18,151.101.64.223,54,1,443,1774035364.5783253
151.101.64.223,10.167.246.18,2966,1,28783,1774035364.584234
10.167.246.18,151.101.64.223,54,1,443,1774035364.6184669
10.167.246.18,151.101.64.223,92,1,443,1774035364.6584218
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.6788216
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.6935532
10.167.246.18,151.101.64.223,66,1,443,1774035364.6950474
10.167.246.18,151.101.64.223,54,1,443,1774035364.6964664
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.6986735
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.700155
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.7016833
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.7028968
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.713011
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.724528
151.101.64.223,10.167.246.18,2966,1,28783,1774035364.725315
10.167.246.18,151.101.64.223,66,1,443,1774035364.7257838
10.167.246.18,151.101.64.223,54,1,443,1774035364.726197
10.167.246.18,151.101.64.223,66,1,443,1774035364.7267344
10.167.246.18,151.101.64.223,54,1,443,1774035364.7273335
10.167.246.18,151.101.64.223,66,1,443,1774035364.7277637
10.167.246.18,151.101.64.223,54,1,443,1774035364.728245
10.167.246.18,151.101.64.223,54,1,443,1774035364.7287073
151.101.64.223,10.167.246.18,5878,1,28783,1774035364.7296586
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.7304163
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.7333925
151.101.64.223,10.167.246.18,2966,1,28783,1774035364.7346723
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.73595
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.7367885
151.101.64.223,10.167.246.18,2966,1,28783,1774035364.7397814
10.167.246.18,151.101.64.223,66,1,443,1774035364.741072
10.167.246.18,151.101.64.223,54,1,443,1774035364.7424614
10.167.246.18,151.101.64.223,66,1,443,1774035364.7435699
10.167.246.18,151.101.64.223,54,1,443,1774035364.7441597
10.167.246.18,151.101.64.223,54,1,443,1774035364.7446458
10.167.159.166,224.0.0.251,242,2,5353,1774035364.745885
151.101.64.223,10.167.246.18,2966,1,28783,1774035364.746548
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.747143
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.7476056
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.7481785
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.748773
10.167.246.18,151.101.64.223,66,1,443,1774035364.7496748
10.167.246.18,151.101.64.223,54,1,443,1774035364.7500675
10.167.246.18,151.101.64.223,66,1,443,1774035364.7504442
10.167.246.18,151.101.64.223,54,1,443,1774035364.7508097
151.101.64.223,10.167.246.18,54,1,28783,1774035364.7513397
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.75181
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.752255
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.7526655
10.167.246.18,151.101.64.223,66,1,443,1774035364.7529938
10.167.246.18,151.101.64.223,54,1,443,1774035364.753463
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.7543592
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.7573388
10.167.246.18,151.101.64.223,66,1,443,1774035364.758019
10.167.246.18,151.101.64.223,54,1,443,1774035364.7586524
151.101.64.223,10.167.246.18,2966,1,28783,1774035364.8389564
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.843464
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.8452854
10.167.246.18,151.101.64.223,66,1,443,1774035364.8471649
10.167.246.18,151.101.64.223,54,1,443,1774035364.8497152
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.8568492
151.101.64.223,10.167.246.18,1458,1,28783,1774035364.860789
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.862937
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.8661027
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.8695838
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.872435
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.8766284
10.167.246.18,151.101.64.223,66,1,443,1774035364.8798087
10.167.246.18,151.101.64.223,54,1,443,1774035364.8827326
10.167.246.18,151.101.64.223,66,1,443,1774035364.8854098
10.167.246.18,151.101.64.223,54,1,443,1774035364.8864577
10.167.246.18,151.101.64.223,66,1,443,1774035364.8907394
10.167.246.18,151.101.64.223,54,1,443,1774035364.8969295
151.101.64.223,10.167.246.18,2966,1,28783,1774035364.9001327
10.164.128.98,10.167.246.18,66,1,7680,1774035364.9018505
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.903317
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.9064033
10.167.246.18,151.101.64.223,66,1,443,1774035364.9077017
10.167.246.18,151.101.64.223,54,1,443,1774035364.910329
151.101.64.223,10.167.246.18,2966,1,28783,1774035364.9153185
10.167.246.18,151.101.64.223,54,1,443,1774035364.91651
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.9176738
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.9187596
10.167.246.18,151.101.64.223,66,1,443,1774035364.9206474
10.167.246.18,151.101.64.223,54,1,443,1774035364.923798
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.9267044
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.9289703
10.167.246.18,151.101.64.223,66,1,443,1774035364.9301243
10.167.246.18,151.101.64.223,54,1,443,1774035364.9317026
151.101.64.223,10.167.246.18,2966,1,28783,1774035364.9329906
10.167.246.18,151.101.64.223,54,1,443,1774035364.9345338
10.167.183.102,224.0.0.251,579,2,5353,1774035364.9480307
10.167.242.230,224.0.0.251,433,2,5353,1774035364.9515955
151.101.64.223,10.167.246.18,5878,1,28783,1774035364.9532485
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.9540293
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.955459
151.101.64.223,10.167.246.18,8790,1,28783,1774035364.9588828
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.9611459
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.9620268
151.101.64.223,10.167.246.18,2966,1,28783,1774035364.9630616
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.963708
10.167.246.18,151.101.64.223,66,1,443,1774035364.9642787
10.167.246.18,151.101.64.223,54,1,443,1774035364.9648778
10.167.246.18,151.101.64.223,66,1,443,1774035364.9652994
10.167.246.18,151.101.64.223,54,1,443,1774035364.966157
10.167.246.18,151.101.64.223,66,1,443,1774035364.967247
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.9681163
151.101.64.223,10.167.246.18,1510,1,28783,1774035364.9689212
151.101.64.223,10.167.246.18,1322,1,28783,1774035364.9696996
151.101.64.223,10.167.246.18,2966,1,28783,1774035364.9706337
10.167.246.18,151.101.64.223,54,1,443,1774035364.9720042
10.167.246.18,151.101.64.223,54,1,443,1774035364.9729452
10.167.118.203,224.0.0.251,404,2,5353,1774035365.0477684
10.167.73.3,224.0.0.251,461,2,5353,1774035365.0566378
10.167.253.132,224.0.0.251,462,2,5353,1774035365.066484
10.167.175.215,224.0.0.251,425,2,5353,1774035365.0769775
10.167.121.37,224.0.0.251,976,2,5353,1774035365.105878
10.167.90.252,224.0.0.251,431,2,5353,1774035365.116576
10.167.110.215,224.0.0.251,469,2,5353,1774035365.1235485
10.167.73.196,224.0.0.251,452,2,5353,1774035365.1336813
10.167.239.107,224.0.0.251,427,2,5353,1774035365.1385002
151.101.64.223,10.167.246.18,1510,1,28783,1774035365.1465213
151.101.64.223,10.167.246.18,1510,1,28783,1774035365.1505659
151.101.64.223,10.167.246.18,1510,1,28783,1774035365.1594334
10.167.246.18,151.101.64.223,66,1,443,1774035365.162076
10.167.246.18,151.101.64.223,54,1,443,1774035365.1631749
10.167.246.18,151.101.64.223,66,1,443,1774035365.164007
151.101.64.223,10.167.246.18,1510,1,28783,1774035365.1649349
151.101.64.223,10.167.246.18,1510,1,28783,1774035365.1660864
151.101.64.223,10.167.246.18,1510,1,28783,1774035365.1680787
151.101.64.223,10.167.246.18,2966,1,28783,1774035365.1693025
151.101.64.223,10.167.246.18,1348,1,28783,1774035365.1702285
10.167.246.18,151.101.64.223,54,1,443,1774035365.170863
10.167.246.18,151.101.64.223,66,1,443,1774035365.1718805
10.167.246.18,151.101.64.223,54,1,443,1774035365.1755538
10.167.246.18,151.101.64.223,54,1,443,1774035365.178085
10.167.161.232,224.0.0.251,436,2,5353,1774035365.1811616
